title,link
사람 뇌 따라잡은 인공지능…한국서 핵심 기술 개발했다,http://www.segye.com/newsView/20250411505519?OutUrl=naver
"지드래곤, 인공지능 '홈 스위트 홈' 뮤비 공개 ""AI와 함께 상상""",https://www.newsis.com/view/NISX20250411_0003136214
법조계도 인공지능 시대…기대·우려 교차,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8225652&ref=A
"웨이센, 강남지인병원에 AI내시경 ‘웨이메드 엔도’ 공급",https://www.etoday.co.kr/news/view/2461167
"TTA, 인공지능 신뢰성 검·인증 제도 고도화",http://www.inews24.com/view/1833168
"""인공지능 기술 활용해야""…중기부, 스마트제조 정책혁신 논의",https://www.news1.kr/industry/sb-founded/5746727
"교수로 변신한 이세돌, 다시 인공지능을 말하다",https://www.thisisgame.com/webzine/special/nboard/5/?n=209811
2030 대리·과장이 주도…KT 인공지능 전환TF 출범,https://biz.sbs.co.kr/article_hub/20000227918?division=NAVER
"경기도의회 전석훈 의원, ""경기도가 인공지능 시대 선도해야""",http://www.breaknews.com/1108577
"""인공지능 GPU 1만 개를 요구합니다""...",https://www.aitimes.kr/news/articleView.html?idxno=34577
