"행정구역","2022년_전체","2022년_남자","2022년_여자","2022년_65세이상전체","2022년_65세이상남자","2022년_65세이상여자","2023년_전체","2023년_남자","2023년_여자","2023년_65세이상전체","2023년_65세이상남자","2023년_65세이상여자","2024년_전체","2024년_남자","2024년_여자","2024년_65세이상전체","2024년_65세이상남자","2024년_65세이상여자"
"서울특별시 종로구 (1111000000)","141,379","68,395","72,984","27,704","12,448","15,256","139,417","67,306","72,111","28,500","12,857","15,643","138,336","66,570","71,766","29,574","13,342","16,232"
"서울특별시 종로구 청운효자동(1111051500)","11,628","5,347","6,281","2,137","883","1,254","11,349","5,187","6,162","2,162","896","1,266","11,030","5,028","6,002","2,216","915","1,301"
"서울특별시 종로구 사직동(1111053000)","9,087","4,038","5,049","1,787","776","1,011","8,998","3,993","5,005","1,852","803","1,049","8,962","3,960","5,002","1,927","823","1,104"
"서울특별시 종로구 삼청동(1111054000)","2,331","1,112","1,219","596","264","332","2,248","1,075","1,173","608","269","339","2,219","1,065","1,154","631","282","349"
"서울특별시 종로구 부암동(1111055000)","9,241","4,382","4,859","1,808","790","1,018","9,085","4,303","4,782","1,873","825","1,048","9,051","4,247","4,804","1,986","871","1,115"
"서울특별시 종로구 평창동(1111056000)","17,663","8,236","9,427","3,474","1,524","1,950","17,387","8,097","9,290","3,626","1,584","2,042","17,251","7,997","9,254","3,807","1,688","2,119"
"서울특별시 종로구 무악동(1111057000)","8,023","3,708","4,315","1,476","634","842","7,961","3,650","4,311","1,514","646","868","7,839","3,590","4,249","1,544","645","899"
"서울특별시 종로구 교남동(1111058000)","9,816","4,528","5,288","1,648","687","961","9,715","4,457","5,258","1,696","701","995","9,552","4,389","5,163","1,742","720","1,022"
"서울특별시 종로구 가회동(1111060000)","3,941","1,821","2,120","837","337","500","3,860","1,793","2,067","850","350","500","3,778","1,770","2,008","872","364","508"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,728","4,095","2,633","1,706","1,041","665","6,683","4,045","2,638","1,738","1,064","674","6,668","4,001","2,667","1,809","1,103","706"
"서울특별시 종로구 종로5.6가동(1111063000)","5,300","2,797","2,503","1,058","530","528","5,384","2,827","2,557","1,070","543","527","5,294","2,781","2,513","1,105","570","535"
"서울특별시 종로구 이화동(1111064000)","7,101","3,360","3,741","1,352","570","782","6,899","3,280","3,619","1,374","583","791","7,009","3,272","3,737","1,400","596","804"
"서울특별시 종로구 혜화동(1111065000)","16,143","7,746","8,397","2,675","1,103","1,572","15,869","7,623","8,246","2,692","1,135","1,557","15,822","7,598","8,224","2,762","1,157","1,605"
"서울특별시 종로구 창신제1동(1111067000)","4,646","2,465","2,181","1,176","576","600","4,521","2,394","2,127","1,213","590","623","4,495","2,355","2,140","1,284","631","653"
"서울특별시 종로구 창신제2동(1111068000)","7,706","3,962","3,744","1,809","806","1,003","7,510","3,880","3,630","1,875","858","1,017","7,333","3,778","3,555","1,925","871","1,054"
"서울특별시 종로구 창신제3동(1111069000)","6,449","3,177","3,272","1,250","554","696","6,345","3,123","3,222","1,320","588","732","6,231","3,066","3,165","1,390","631","759"
"서울특별시 종로구 숭인제1동(1111070000)","5,769","2,783","2,986","1,206","529","677","5,782","2,807","2,975","1,283","551","732","5,728","2,769","2,959","1,347","575","772"
"서울특별시 종로구 숭인제2동(1111071000)","9,807","4,838","4,969","1,709","844","865","9,821","4,772","5,049","1,754","871","883","10,074","4,904","5,170","1,827","900","927"
